trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4
1,0.3218186345533852,1,Rotate,0,0,212,0.8,-1.4045354500998921,0,,,,,
1,0.3218186345533852,1,Rotate,0,1,158,0.8,1.3072709043182704,1,7708.299999952316,,,,
1,0.3218186345533852,1,Rotate,0,2,212,0.8,0.4112283217966086,0,,,,,
1,0.3218186345533852,1,Rotate,0,3,126,0.8,-1.2325687908297873,1,6578.0,,,,
1,0.3218186345533852,1,Rotate,1,0,212,0.8,0.059271815983607645,0,11906.199999809263,,,,
1,0.3218186345533852,1,Rotate,1,1,212,0.8,-1.302150983191894,0,,,,,
1,0.3218186345533852,1,Rotate,1,2,11,0.8,1.5381647672468834,1,7233.599999904633,,,,
1,0.3218186345533852,1,Rotate,1,3,312,0.8,-0.7815406897340126,1,5840.399999856949,,,,
1,0.3218186345533852,1,Rotate,2,0,86,0.8,0.050555764459913055,1,8330.099999904633,,,,
1,0.3218186345533852,1,Rotate,2,1,212,0.8,-0.6239729423688976,0,,,,,
1,0.3218186345533852,1,Rotate,2,2,212,0.8,-0.6524079503060383,0,,,,,
1,0.3218186345533852,1,Rotate,2,3,212,0.8,0.0656248558540371,0,,,,,
1,0.3218186345533852,1,Rotate,3,0,212,-0.8,0.04267193148538184,0,10739.199999809263,,,,
1,0.3218186345533852,1,Rotate,3,1,212,0.8,-0.48068568057281436,0,,,,,
1,0.3218186345533852,1,Rotate,3,2,212,0.8,-0.2764041946607625,0,,,,,
1,0.3218186345533852,1,Rotate,3,3,212,0.8,-0.6589682953000918,0,,,,,
1,0.3218186345533852,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,101469.19999980928,80.0,,,
2,0.3100726245330567,1,Composite,0,0,102,0.6407041811054284,1.2121767400934615,1,2052.9000000953674,,,,
2,0.3100726245330567,1,Composite,0,1,365,0.7860213699946168,0.47459024993130816,0,,,,,
2,0.3100726245330567,1,Composite,0,2,365,0.6988032637998446,0.0420483787638144,0,,,,,
