trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3
1,0.3793867761461549,1,None,0,0,205,0.8,0,0,,,,
1,0.3793867761461549,1,None,0,1,25,-0.8,0,1,3333.0,,,
1,0.3793867761461549,1,None,0,2,205,0.8,0,0,,,,
1,0.3793867761461549,1,None,0,3,205,0.8,0,0,,,,
1,0.3793867761461549,1,None,1,0,97,-0.8,0,1,4181.0,,,
1,0.3793867761461549,1,None,1,1,157,0.8,0,1,5329.0,,,
1,0.3793867761461549,1,None,1,2,268,0.8,0,1,5625.0,,,
1,0.3793867761461549,1,None,1,3,205,-0.8,0,0,,,,
1,0.3793867761461549,1,None,2,0,205,0.8,0,0,,,,
1,0.3793867761461549,1,None,2,1,205,0.8,0,0,,,,
1,0.3793867761461549,1,None,2,2,205,-0.8,0,0,,,,
1,0.3793867761461549,1,None,2,3,205,0.8,0,0,,,,
1,0.3793867761461549,1,None,3,0,205,0.8,0,0,,,,
1,0.3793867761461549,1,None,3,1,127,0.8,0,1,6501.0,,,
1,0.3793867761461549,1,None,3,2,348,0.8,0,1,6143.0,,,
1,0.3793867761461549,1,None,3,3,205,0.8,0,0,,,,
1,0.3793867761461549,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,15969.0,342.0,,
2,0.3950017607212763,1,Composite,0,0,190,0.6205974585869222,0.3020272585095922,1,1124.0,,,
2,0.3950017607212763,1,Composite,0,1,320,0.7110935677904091,0.32811249363076556,1,11428.0,,,
2,0.3950017607212763,1,Composite,0,2,166,0.8653933592146194,1.5011799055102508,0,,,,
2,0.3950017607212763,1,Composite,0,3,166,0.7344240617437677,0.5941208235685962,0,,,,
2,0.3950017607212763,1,Composite,0,4,166,0.884954885558445,0.0062670812773624185,0,,,,
2,0.3950017607212763,1,Composite,0,5,166,0.8337669924485855,-0.8847649965808247,0,,,,
2,0.3950017607212763,1,Composite,1,0,166,0.7965403680844202,-0.3918104864685614,0,,,,
2,0.3950017607212763,1,Composite,1,1,83,0.8571549229113921,0.2296038607225459,1,1523.0,,,
2,0.3950017607212763,1,Composite,1,2,94,0.8361404138997117,-0.01833679560007906,1,4813.0,,,
2,0.3950017607212763,1,Composite,1,3,166,0.7196230568019474,0.13653610521599324,0,,,,
2,0.3950017607212763,1,Composite,1,4,166,-0.8774701677495698,0.5432621014988044,0,,,,
2,0.3950017607212763,1,Composite,1,5,166,0.869078530852826,-0.8104531729345783,0,,,,
2,0.3950017607212763,1,Composite,2,0,166,0.7955807423840614,0.21468913390031696,0,,,,
2,0.3950017607212763,1,Composite,2,1,166,0.8268076980079437,0.10777045224852899,0,,,,
2,0.3950017607212763,1,Composite,2,2,159,0.6184306165601828,-1.3427909086008045,1,5111.0,,,
2,0.3950017607212763,1,Composite,2,3,166,0.822250324034078,1.470516099871114,0,,,,
2,0.3950017607212763,1,Composite,2,4,89,-0.6455977247116186,0.41676841944276677,1,9066.0,,,
2,0.3950017607212763,1,Composite,2,5,247,0.7863770900113,0.35356651208110135,1,8610.0,,,
2,0.3950017607212763,1,Composite,3,0,344,0.6984378637052502,0.8231453667924469,1,2748.0,,,
2,0.3950017607212763,1,Composite,3,1,296,0.8633976686097387,-0.05882311988165756,1,2407.0,,,
2,0.3950017607212763,1,Composite,3,2,226,0.7748110794488267,0.2777196081724298,1,6074.0,,,
2,0.3950017607212763,1,Composite,3,3,166,0.7006155508342294,-1.2394696920070556,0,,,,
2,0.3950017607212763,1,Composite,3,4,331,-0.8749766098742511,-0.34009518284281137,1,7403.0,,,
2,0.3950017607212763,1,Composite,3,5,43,0.6898063185946022,0.6984990620551126,1,8077.0,,,
2,0.3950017607212763,1,Composite,4,0,166,0.8772374822386739,0.9794731651051243,0,,,,
2,0.3950017607212763,1,Composite,4,1,166,-0.6872799664822526,-0.5030541565351787,0,,,,
2,0.3950017607212763,1,Composite,4,2,166,0.8408465746114263,0.1498224155290011,0,,,,
2,0.3950017607212763,1,Composite,4,3,166,0.6221320898673415,-0.012153363113883042,0,,,,
2,0.3950017607212763,1,Composite,4,4,166,0.6839327173384134,-1.208755683891058,0,,,,
2,0.3950017607212763,1,Composite,4,5,166,0.6641192854514535,0.2540871891332792,0,,,,
2,0.3950017607212763,1,Composite,5,0,166,0.886914321193236,0.7462795503216286,0,,,,
2,0.3950017607212763,1,Composite,5,1,224,0.6106802359040753,-1.5379583348876618,1,3263.0,,,
2,0.3950017607212763,1,Composite,5,2,166,0.6192755560323967,1.2374969497457524,0,,,,
2,0.3950017607212763,1,Composite,5,3,166,0.715197585034815,1.3233444555891842,0,,,,
2,0.3950017607212763,1,Composite,5,4,348,0.673077365098739,-0.5726642445731602,1,9845.0,,,
2,0.3950017607212763,1,Composite,5,5,166,0.8390703573353159,1.1812769997652626,0,,,,
2,0.3950017607212763,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,33664.0,609.0,,
3,0.3727757226348596,1,Scale,0,0,315,0.7832737708753921,0,1,1051.0,,,
3,0.3727757226348596,1,Scale,0,1,312,0.8076528006367045,0,1,5812.0,,,
3,0.3727757226348596,1,Scale,0,2,381,0.7591920703752757,0,0,,,,
3,0.3727757226348596,1,Scale,0,3,381,0.6602444289811231,0,0,,,,
3,0.3727757226348596,1,Scale,0,4,255,0.8988759285259991,0,1,11166.0,,,
