trial,AlienRatio,Dimension,distortMode,i,j,charID,scale,rotate,alien,0,1,2,3,4,5,6,7
1,0.3756320930193181,1,Composite,0,0,341,0.8843600028386997,-1.2180771877532661,0,,,,,,,,
1,0.3756320930193181,1,Composite,0,1,341,0.6128344195750249,1.5437114123614006,0,,,,,,,,
1,0.3756320930193181,1,Composite,0,2,178,0.6086763103531041,1.1965382741227843,1,4747.5,,,,,,,
1,0.3756320930193181,1,Composite,0,3,281,0.768158952732774,0.9446229508891828,1,5988.0,,,,,,,
1,0.3756320930193181,1,Composite,1,0,180,0.6189040557022825,0.3679005703846383,1,2093.400000000001,,,,,,,
1,0.3756320930193181,1,Composite,1,1,285,0.7344516595294043,-1.3313307057728947,1,3543.0,,,,,,,
1,0.3756320930193181,1,Composite,1,2,341,0.8766520429855348,1.5381599651243491,0,,,,,,,,
1,0.3756320930193181,1,Composite,1,3,332,0.8423414471059127,-0.07998249122512213,1,6419.800000000003,,,,,,,
1,0.3756320930193181,1,Composite,2,0,100,0.638322017161485,-0.6394473708749996,1,2588.300000000003,,,,,,,
1,0.3756320930193181,1,Composite,2,1,341,0.8030998766338611,1.2982401119508062,0,,,,,,,,
1,0.3756320930193181,1,Composite,2,2,341,0.7351439849231892,0.8758351504853055,0,,,,,,,,
1,0.3756320930193181,1,Composite,2,3,341,0.7756118958357607,1.0293827028649951,0,,,,,,,,
1,0.3756320930193181,1,Composite,3,0,341,0.7285471982154816,1.046720371824601,0,,,,,,,,
1,0.3756320930193181,1,Composite,3,1,341,0.8834869682414732,0.02478497905454713,0,,,,,,,,
1,0.3756320930193181,1,Composite,3,2,341,0.7342262318414365,0.9379372505739161,0,,,,,,,,
1,0.3756320930193181,1,Composite,3,3,341,0.7631699191481912,0.9957734494099304,0,,,,,,,,
1,0.3756320930193181,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,45154.8,379.0,,,,,,
2,0.318326437125198,1,None,0,0,302,0.8,0,0,,,,,,,,
2,0.318326437125198,1,None,0,1,266,0.8,0,1,1574.2000000000044,,,,,,,
